graph,effective_rank,feature_dim
graph_flow_1903,4,4
graph_flow_1919,4,4
graph_flow_1942,4,4
graph_flow_1945,4,4
graph_flow_1946,4,4
graph_flow_1954,4,4
graph_flow_1955,4,4
graph_flow_1957,4,4
graph_flow_1966,4,4
graph_flow_1967,4,4
graph_flow_1969,4,4
graph_flow_1970,4,4
graph_flow_1978,4,4
graph_flow_1979,4,4
graph_flow_1991,4,4
graph_flow_1993,4,4
graph_flow_2014,4,4
graph_flow_2015,4,4
graph_flow_2018,4,4
graph_flow_2027,4,4
graph_flow_2028,4,4
graph_flow_2031,4,4
graph_flow_2033,4,4
graph_flow_2054,4,4
graph_flow_2058,4,4
graph_flow_2059,4,4
graph_flow_2062,4,4
graph_flow_2065,4,4
graph_flow_2270,4,4
graph_flow_2271,4,4
graph_flow_2272,4,4
graph_flow_2273,4,4
graph_flow_2274,4,4
graph_flow_2275,4,4
graph_flow_2276,4,4
graph_flow_2277,4,4
graph_flow_2278,4,4
graph_flow_2279,4,4
graph_flow_2280,4,4
graph_flow_2281,4,4
graph_flow_2282,4,4
graph_flow_2283,4,4
graph_flow_2284,4,4
graph_flow_2285,4,4
graph_flow_2286,4,4
graph_flow_2287,4,4
graph_flow_2288,4,4
graph_flow_2289,4,4
graph_flow_2290,4,4
graph_flow_2292,4,4
graph_flow_2293,4,4
graph_flow_2294,4,4
graph_flow_2295,4,4
graph_flow_2296,4,4
graph_flow_2297,4,4
graph_flow_2298,4,4
graph_flow_2299,4,4
graph_flow_2300,4,4
graph_flow_2301,4,4
graph_flow_2302,4,4
graph_flow_2303,4,4
graph_flow_2304,4,4
graph_flow_2305,4,4
graph_flow_2306,4,4
graph_flow_2307,4,4
graph_flow_2308,4,4
graph_flow_2309,4,4
graph_flow_2310,4,4
graph_flow_2311,4,4
graph_flow_2312,4,4
graph_flow_2313,4,4
graph_flow_2314,4,4
graph_flow_2315,4,4
graph_flow_2316,4,4
graph_flow_2317,4,4
graph_flow_2318,4,4
graph_flow_2319,4,4
graph_flow_2320,4,4
graph_flow_2321,4,4
graph_flow_2322,4,4
graph_flow_2323,4,4
graph_flow_2324,4,4
graph_flow_2325,4,4
graph_flow_2326,4,4
graph_flow_2327,4,4
graph_flow_2328,4,4
graph_flow_2329,4,4
graph_flow_2330,4,4
graph_flow_2331,4,4
graph_flow_2332,4,4
graph_flow_2333,4,4
graph_flow_2334,4,4
graph_flow_2335,4,4
graph_flow_2336,4,4
graph_flow_2337,4,4
graph_flow_2338,4,4
graph_flow_2339,4,4
graph_flow_2340,4,4
